Tucker,Dog,7.900000,2,0918,919,0.300000,3,2,0918,919,0.300000,3,2,0918,919,0.300000,3,2,0918,919,0.300000,3,2,0918,919,0.4,3,2,0918,919,0.3,3,2,0918,919,0.3,4,Day 2,0918,0919,0.9,7,2,0918,919,0.1,9,2,0918,919,0.5,1,2,0918,0919,0.4,3,2,0918,0919,0.1,10,2,0918,0919,0.1,9,Day 2,0918,0919,0.1,9,Day 2,0918,0919,0.9,1,Day 2,0918,0919,0.9,1































































Pillow,Cat,5,Day 2,1839,1840,2.0,3,Day 2,1839,1840,0.1,9,Day 2,1839,1840,0.9,1,Day 2,1839,1840,0.9,1































































Atlas,Cat,2,Day 2,1742,1744,0.6,2,Day 2,1742,1744,0.1,9,Day 2,1742,1744,0.9,1,Day 2,1742,1744,0.9,1































































Cocoa,Dog,1.4,Day 2,1630,1632,0.6,3,Day 2,1630,1632,0.1,9,Day 2,1630,1632,0.9,1,Day 2,1630,1632,0.9,1































































Starbs,Cat,10,Day 2,1240,1241,0.6,5,Day 2,1240,1241,0.1,9,Day 2,1240,1241,0.9,1,Day 2,1240,1241,0.9,1

nullPillow,Cat,5.0,2,1839,1841,0.1,9Atlas,Cat,2.0,2,1742,1744,0.1,9Cocoa,Dog,1.4,2,1630,1632,0.1,0Starbs,Cat,10.0,2,1240,1242,0.1,9Tucker,Dog,7.9,2,0918,0919,0.1,9,Day 2,1839,1840,0.1,9,Day 2,1742,1744,0.1,9,Day 2,1630,1632,0.1,9,Day 2,1240,1241,0.1,9,Day 2,0918,0919,0.1,9,Day 2,1839,1840,0.9,1,Day 2,1742,1744,0.9,1,Day 2,1630,1632,0.9,1,Day 2,1240,1241,0.9,1,Day 2,0918,0919,0.9,1,Day 2,1839,1840,0.9,1,Day 2,1742,1744,0.9,1,Day 2,1630,1632,0.9,1,Day 2,1240,1241,0.9,1,Day 2,0918,0919,0.9,1
